DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
26.05,,18950.32,39524.12,89807.94,4798.97,8017.78,322821,2012.06,,283.59,9194.72,34.65,,21.33,23.83,1976.63,34.25,1.67,70.25,,22.64,
25.85,,11659.66,32294.25,82378.94,3948.34,9750.71,298598.28,1581.74,,371.95,9218.37,,,10.52,27.82,1750.08,36.23,3.62,52.52,,18.09,
25.66,,13863.74,33310.62,77085.88,4036.46,8206.92,328521.56,1686.46,,437.62,8285.69,11.83,,10.86,24.55,1929.45,29.98,2.79,91.05,,18.37,
25.46,,12598.31,32743.6,66534.19,5026.87,7174.5,358323.28,1875.03,,305.46,8467.25,26.32,,12.73,21.45,1952.68,25.42,1.54,76.53,,17.26,
25.26,,15679.88,27231.9,62272.3,11561.87,6823.24,355638.69,1685.34,,285.99,19190.02,28.9,,14.63,20.31,1872.44,24.29,2.59,93.6,,16.66,
25.07,0.615,12543.13,32438.52,72740.46,4162.32,6583.57,354070.34,1502.93,,308,7476.89,29.95,,31.94,18.65,2115.5,26.59,,49.6,,17.65,
24.87,,20171.45,44241.82,100069.11,4743.62,9164.76,303909.56,1771.8,,296.87,9290.88,24.46,,29.77,27.24,1852.31,41.55,3.14,38.2,,18.95,
24.67,,14413.59,52529.82,113752.51,5193.1,11687.9,277001.91,1952.18,,328.92,10595.56,29.97,,10.09,34.36,1696.12,54.48,2.63,67.17,,15.49,
24.48,,17706.87,44401.46,108764.46,5432.07,9900.4,277319.47,1787.27,,301.93,11648.67,19.72,,23.79,28.69,1782.56,56.09,3.59,73.62,,17.52,
24.28,,18845.87,46230.36,104619.62,5555.08,10433.1,286890.88,1825.57,,347.62,10408.68,,,18.99,29.66,1846.16,44.27,3.57,83.2,,19.55,
24.08,,13281.61,50810.66,99176.59,4462.12,11829.25,300499.28,2169.23,,355.8,8990.34,,,28.71,35.82,1820.06,49.8,3.76,20.4,,21.68,
